pdf_url,year,num_pages,title,journal,authors,vol,issue,ID,fg_count,tb_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598945_wo_cover.pdf',2005,15,The Affiliation Effect in First-Price Auctions,Econometrica,Joris Pinkse and Guofu Tan,73,1,3598945,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056455_wo_cover.pdf',2008,48,Collusion with Persistent Cost Shocks,Econometrica,Susan Athey and Kyle Bagwell,76,3,40056455,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598930_wo_cover.pdf',2006,5,A Dynamic Equilibrium Model of International Portfolio Holdings: Comment,Econometrica,Robert Kollmann,74,1,3598930,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692282_wo_cover.pdf',2002,36,The Time Structure of Self-Enforcing Agreements,Econometrica,Debraj Ray,70,2,2692282,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40664493_wo_cover.pdf',2010,11,MECHANISM GAMES WITH MULTIPLE PRINCIPALS AND THREE OR MORE AGENTS,Econometrica,Takuro Yamashita,78,2,40664493,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3805929_wo_cover.pdf',2006,18,Equilibria and Indivisibilities: Gross Substitutes and Complements,Econometrica,Ning Sun and Zaifu Yang,74,5,3805929,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502058_wo_cover.pdf',2008,20,Optimal Bandwidth Selection in Heteroskedasticity-Autocorrelation Robust Testing,Econometrica,Yixiao Sun; Peter C. B. Phillips and Sainan Jin,76,1,4502058,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056454_wo_cover.pdf',2008,33,Simple Efficient Contracts in Complex Environments,Econometrica,Robert Evans,76,3,40056454,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598925_wo_cover.pdf',2006,26,Random Expected Utility,Econometrica,Faruk Gul and Wolfgang Pesendorfer,74,1,3598925,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692168_wo_cover.pdf',2002,40,Maximum Likelihood Estimation of Discretely Sampled Diffusions: A Closed-Form Approximation Approach,Econometrica,Yacine Aït-Sahalia,70,1,2692168,3,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056459_wo_cover.pdf',2008,23,Political Economy of Mechanisms,Econometrica,Daron Acemoglu; Michael Golosov and Aleh Tsyvinski,76,3,40056459,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621370_wo_cover.pdf',2009,31,Ambiguity and Second-Order Belief,Econometrica,Kyoungwon Seo,77,5,25621370,4,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621371_wo_cover.pdf',2009,30,Social Image and the 50-50 Norm: A Theoretical and Experimental Analysis of Audience Effects,Econometrica,James Andreoni and B. Douglas Bernheim,77,5,25621371,4,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555497_wo_cover.pdf',2003,13,Finite Order Implications of Common Priors,Econometrica,Barton L. Lipman,71,4,1555497,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4501999_wo_cover.pdf',2007,15,Estimation of Average Treatment Effects with Misclassification,Econometrica,Arthur Lewbel,75,2,4501999,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502012_wo_cover.pdf',2007,10,A Mechanism-Design Approach to Speculative Trade,Econometrica,Kfir Eliaz and Ran Spiegler,75,3,4502012,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621366_wo_cover.pdf',2009,43,Inference for Continuous Semimartingales Observed at High Frequency,Econometrica,Per A. Mykland and Lan Zhang,77,5,25621366,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082008_wo_cover.pdf',2002,30,Inference on the Quantile Regression Process,Econometrica,Roger Koenker and Zhijie Xiao,70,4,3082008,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082027_wo_cover.pdf',2002,17,Existence and Uniqueness of Maximal Reductions under Iterated Strict Dominance,Econometrica,Martin Dufwenberg and Mark Stegeman,70,5,3082027,0,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555534_wo_cover.pdf',2003,42,Long Cheap Talk,Econometrica,Robert J. Aumann and Sergiu Hart,71,6,1555534,13,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692295_wo_cover.pdf',2002,12,Comparative Statics by Adaptive Dynamics and the Correspondence Principle,Econometrica,Federico Echenique,70,2,2692295,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598940_wo_cover.pdf',2005,47,Existence of Equilibrium in Single and Double Private Value Auctions,Econometrica,Matthew O. Jackson and Jeroen M. Swinkels,73,1,3598940,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598892_wo_cover.pdf',2004,48,Measuring Expectations,Econometrica,Charles F. Manski,72,5,3598892,3,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4123083_wo_cover.pdf',2006,34,Tests of Conditional Predictive Ability,Econometrica,Raffaella Giacomini and Halbert White,74,6,4123083,2,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621402_wo_cover.pdf',2010,39,Insider Trading with a Random Deadline,Econometrica,René Caldentey and Ennio Stacchetti,78,1,25621402,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502019_wo_cover.pdf',2007,46,Prices and Portfolio Choices in Financial Markets: Theory; Econometrics; Experiments,Econometrica,Peter Bossaerts; Charles Plott and William R. Zame,75,4,4502019,5,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555491_wo_cover.pdf',2003,37,Signaling and Election Motivations in a Voting Model with Common Values and Responsive Candidates,Econometrica,Ronny Razin,71,4,1555491,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598822_wo_cover.pdf',2005,46,Estimating Long Memory in Volatility,Econometrica,Clifford M. Hurvich; Eric Moulines and Philippe Soulier,73,4,3598822,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263874_wo_cover.pdf',2009,24,The Optimal Income Taxation of Couples,Econometrica,Henrik Jacobsen Kleven; Claus Thustrup Kreiner and Emmanuel Saez,77,2,40263874,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928442_wo_cover.pdf',2010,38,RISK AND RATIONALITY: UNCOVERING HETEROGENEITY IN PROBABILITY DISTORTION,Econometrica,Adrian Bruhin; Helga Fehr-Duda and Thomas Epper,78,4,40928442,20,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555521_wo_cover.pdf',2003,35,Robust Predictions for Bilateral Contracting with Externalities,Econometrica,Ilya Segal and Michael D. Whinston,71,3,1555521,5,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4123084_wo_cover.pdf',2006,23,Promises and Partnership,Econometrica,Gary Charness and Martin Dufwenberg,74,6,4123084,3,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928437_wo_cover.pdf',2010,28,NONCONTRACTIBLE HETEROGENEITY IN DIRECTED SEARCH,Econometrica,Michael Peters,78,4,40928437,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056531_wo_cover.pdf',2009,10,Characterization of Revenue Equivalence,Econometrica,Birgit Heydenreich; Rudolf Müller; Marc Uetz and Rakesh V. Vohra,77,1,40056531,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502033_wo_cover.pdf',2007,40,Estimating Dynamic Models of Imperfect Competition,Econometrica,Patrick Bajari; C. Lanier Benkard and Jonathan Levin,75,5,4502033,3,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928969_wo_cover.pdf',2010,38,REPEATED GAMES WHERE THE PAYOFFS AND MONITORING STRUCTURE ARE UNKNOWN,Econometrica,Drew Fudenberg and Yuichi Yamamoto,78,5,40928969,1,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056499_wo_cover.pdf',2008,11,Comment on: Threshold Autoregressions with a Unit Root,Econometrica,Jean-Yves Pitarakis,76,5,40056499,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555510_wo_cover.pdf',2003,37,Existence and Uniqueness of Solutions to the Bellman Equation in the Unbounded Case,Econometrica,Juan Pablo Rincón-Zapatero and Carlos Rodríguez-Palmero,71,5,1555510,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692165_wo_cover.pdf',2002,44,Higher-Order Improvements of a Computationally Attractive k-Step Bootstrap for Extremum Estimators,Econometrica,Donald W. K. Andrews,70,1,2692165,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692281_wo_cover.pdf',2002,28,Inference on Regressions with Interval Data on a Regressor or Outcome,Econometrica,Charles F. Manski and Elie Tamer,70,2,2692281,1,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598922_wo_cover.pdf',2006,46,Intersectoral Labor Mobility and the Growth of the Service Sector,Econometrica,Donghoon Lee and Kenneth I. Wolpin,74,1,3598922,0,17
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621387_wo_cover.pdf',2009,44,Comparative Statics; Informativeness; and the Interval Dominance Order,Econometrica,John K.-H. Quah and Bruno Strulovici,77,6,25621387,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598927_wo_cover.pdf',2006,20,Time Consistency of Fiscal and Monetary Policy: A Solution,Econometrica,Mats Persson; Torsten Persson and Lars E. O. Svensson,74,1,3598927,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692163_wo_cover.pdf',2002,43,Consumption over the Life Cycle,Econometrica,Pierre-Olivier Gourinchas and Jonathan A. Parker,70,1,2692163,8,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082041_wo_cover.pdf',2003,34,Consistent Tests for Stochastic Dominance,Econometrica,Garry F. Barrett and Stephen G. Donald,71,1,3082041,4,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598804_wo_cover.pdf',2006,42,Wage Bargaining with On-the-Job Search: Theory and Evidence,Econometrica,Pierre Cahuc; Fabien Postel-Vinay and Jean-Marc Robin,74,2,3598804,3,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555541_wo_cover.pdf',2003,12,A Subjective Spin on Roulette Wheels,Econometrica,Paolo Ghirardato; Fabio Maccheroni; Massimo Marinacci and Marciano Siniscalchi,71,6,1555541,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502036_wo_cover.pdf',2007,48,Incentives; Contracts; and Markets: A General Equilibrium Theory of Firms,Econometrica,William R. Zame,75,5,4502036,6,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40664484_wo_cover.pdf',2010,27,INSTRUMENTAL VARIABLE MODELS FOR DISCRETE OUTCOMES,Econometrica,Andrew Chesher,78,2,40664484,4,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692279_wo_cover.pdf',2002,42,Anchoring Economic Predictions in Common Knowledge,Econometrica,R. Guesnerie,70,2,2692279,5,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598906_wo_cover.pdf',2004,31,The Consumer Gains from Direct Broadcast Satellites and the Competition with Cable TV,Econometrica,Austan Goolsbee and Amil Petrin,72,2,3598906,0,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4123103_wo_cover.pdf',2006,31,Local Partitioned Regression,Econometrica,Norbert Christopeit and Stefan G. N. Hoderlein,74,3,4123103,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692166_wo_cover.pdf',2002,27,A New Specification Test for the Validity of Instrumental Variables,Econometrica,Jinyong Hahn and Jerry Hausman,70,1,2692166,0,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692284_wo_cover.pdf',2002,27,Measuring the Dynamic Efficiency Costs of Regulators' Preferences: Municipal Water Utilities in the Arid West,Econometrica,Christopher Timmins,70,2,2692284,4,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598771_wo_cover.pdf',2004,21,Efficient Semiparametric Estimation via Moment Restrictions,Econometrica,Whitney K. Newey,72,6,3598771,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3081989_wo_cover.pdf',2002,16,The Law of Large Demand for Information,Econometrica,Giuseppe Moscarini and Lones Smith,70,6,3081989,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40664487_wo_cover.pdf',2010,41,FRAMING CONTINGENCIES,Econometrica,David S. Ahn and Haluk Ergin,78,2,40664487,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598769_wo_cover.pdf',2004,13,Confidence Intervals for Partially Identified Parameters,Econometrica,Guido W. Imbens and Charles F. Manski,72,6,3598769,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928465_wo_cover.pdf',2010,34,BAYESIAN AND DOMINANT-STRATEGY IMPLEMENTATION IN THE INDEPENDENT PRIVATE-VALUES MODEL,Econometrica,Alejandro M. Manelli and Daniel R. Vincent,78,6,40928465,5,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692170_wo_cover.pdf',2002,45,Is There a Curse of Dimensionality for Contraction Fixed Points in the Worst Case?,Econometrica,J. Rust; J. F. Traub and H. Woźniakowski,70,1,2692170,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928968_wo_cover.pdf',2010,48,ASYMPTOTIC EQUIVALENCE OF PROBABILISTIC SERIAL AND RANDOM PRIORITY MECHANISMS,Econometrica,Yeon-Koo Che and Fuhito Kojima,78,5,40928968,1,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692315_wo_cover.pdf',2002,7,Nonexistence of Constrained Efficient Equilibria When Markets Are Incomplete,Econometrica,Egbert Dierker; Hildegard Dierker and Birgit Grodal,70,3,2692315,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598866_wo_cover.pdf',2005,31,Complexity and Competition,Econometrica,Douglas Gale and Hamid Sabourian,73,3,3598866,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621395_wo_cover.pdf',2010,34,State Capacity; Conflict; and Development,Econometrica,Timothy Besley and Torsten Persson,78,1,25621395,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598857_wo_cover.pdf',2004,12,Random Effects Estimators with Many Instrumental Variables,Econometrica,Gary Chamberlain and Guido Imbens,72,1,3598857,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263849_wo_cover.pdf',2009,17,Classification Error in Dynamic Discrete Choice Models: Implications for Female Labor Supply Behavior,Econometrica,Michael P. Keane and Robert M. Sauer,77,3,40263849,0,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598837_wo_cover.pdf',2004,32,Financial Market Globalization; Symmetry-Breaking and Endogenous Inequality of Nations,Econometrica,Kiminori Matsuyama,72,3,3598837,8,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3081992_wo_cover.pdf',2002,26,Nonparametric Estimation with Nonlinear Budget Sets,Econometrica,Sören Blomquist and Whitney Newey,70,6,3081992,2,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928466_wo_cover.pdf',2010,33,GENERALIZED UTILITARIANISM AND HARSANYFS IMPARTIAL OBSERVER THEOREM,Econometrica,Simon Grant; Atsushi Kajii; Ben Polak and Zvi Safra,78,6,40928466,0,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598764_wo_cover.pdf',2004,48,Empirical Likelihood-Based Inference in Conditional Moment Restriction Models,Econometrica,Yuichi Kitamura; Gautam Tripathi and Hyungtaik Ahn,72,6,3598764,1,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598941_wo_cover.pdf',2005,34,The Expected Number of Nash Equilibria of a Normal Form Game,Econometrica,Andrew McLennan,73,1,3598941,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621405_wo_cover.pdf',2010,28,Multiple Temptations,Econometrica,John E. Stovall,78,1,25621405,3,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598766_wo_cover.pdf',2004,36,Polarization: Concepts; Measurement; Estimation,Econometrica,Jean-Yves Duclos; Joan Esteban and Debraj Ray,72,6,3598766,6,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692291_wo_cover.pdf',2002,15,Nonparametric Censored and Truncated Regression,Econometrica,Arthur Lewbel and Oliver Linton,70,2,2692291,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555493_wo_cover.pdf',2003,29,Efficient Estimation of Average Treatment Effects Using the Estimated Propensity Score,Econometrica,Keisuke Hirano; Guido W. Imbens and Geert Ridder,71,4,1555493,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555537_wo_cover.pdf',2003,40,Cointegration in Fractional Systems with Unknown Integration Orders,Econometrica,P. M. Robinson and J. Hualde,71,6,1555537,0,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598819_wo_cover.pdf',2005,30,On the Bootstrap of the Maximum Score Estimator,Econometrica,Jason Abrevaya and Jian Huang,73,4,3598819,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263869_wo_cover.pdf',2009,40,Financial Innovation and the Transactions Demand for Cash,Econometrica,Fernando Alvarez and Francesco Lippi,77,2,40263869,1,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598820_wo_cover.pdf',2005,31,Approximate versus Exact Equilibria in Dynamic Economies,Econometrica,Felix Kubler and Karl Schmedders,73,4,3598820,3,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502023_wo_cover.pdf',2007,32,Do Irrelevant Commodities Matter?,Econometrica,Marc Fleurbaey and Koichi Tadenuma,75,4,4502023,0,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056521_wo_cover.pdf',2009,41,Public vs. Private Offers in the Market for Lemons,Econometrica,Johannes Hörner and Nicolas Vieille,77,1,40056521,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/25621386_wo_cover.pdf',2009,48,Structural Nonparametric Cointegrating Regression,Econometrica,Qiying Wang and Peter C. B. Phillips,77,6,25621386,6,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598752_wo_cover.pdf',2005,33,Over-the-Counter Markets,Econometrica,Darrell Duffie; Nicolae Gârleanu and Lasse Heje Pedersen,73,6,3598752,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598772_wo_cover.pdf',2004,27,Asymptotic Distributions of Quasi-Maximum Likelihood Estimators for Spatial Autoregressive Models,Econometrica,Lung-Fei Lee,72,6,3598772,0,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598754_wo_cover.pdf',2005,45,Behavioral Identification in Coalitional Bargaining: An Experimental Analysis of Demand Bargaining and Alternating Offers,Econometrica,Guillaume Fréchette; John H. Kagel and Massimo Morelli,73,6,3598754,3,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4502035_wo_cover.pdf',2007,42,Uniform Inference in Autoregressive Models,Econometrica,Anna Mikusheva,75,5,4502035,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692285_wo_cover.pdf',2002,32,Quadratic Concavity and Determinacy of Equilibrium,Econometrica,Chris Shannon and William R. Zame,70,2,2692285,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263872_wo_cover.pdf',2009,35,Belief-Free Equilibria in Games with Incomplete Information,Econometrica,Johannes Hörner and Stefano Lovo,77,2,40263872,3,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082024_wo_cover.pdf',2002,35,Computational Complexity and Communication: Coordination in Two-Player Games,Econometrica,Amparo Urbano and Jose E. Vila,70,5,3082024,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3081994_wo_cover.pdf',2002,9,Efficient Resource Allocation on the Basis of Priorities,Econometrica,Haluk I. Ergin,70,6,3081994,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598894_wo_cover.pdf',2004,35,Women as Policy Makers: Evidence from a Randomized Policy Experiment in India,Econometrica,Raghabendra Chattopadhyay and Esther Duflo,72,5,3598894,0,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056525_wo_cover.pdf',2009,41,Nonparametric Identification of Finite Mixture Models of Dynamic Discrete Choices,Econometrica,Hiroyuki Kasahara and Katsumi Shimotsu,77,1,40056525,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692314_wo_cover.pdf',2002,9,Testing Lorenz Curves with Non-Simple Random Samples,Econometrica,Buhong Zheng,70,3,2692314,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40664492_wo_cover.pdf',2010,19,THE DYNAMIC PIVOT MECHANISM,Econometrica,Dirk Bergemann and Juuso Välimäki,78,2,40664492,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263862_wo_cover.pdf',2009,12,Information Independence and Common Knowledge,Econometrica,Olivier Gossner; Ehud Kalai and Robert Weber,77,4,40263862,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056498_wo_cover.pdf',2008,16,Identification of Treatment Effects Using Control Functions in Models with Continuous; Endogenous Treatment and Heterogeneous Effects,Econometrica,J. P. Florens; J. J. Heckman; C. Meghir and E. Vytlacil,76,5,40056498,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40263846_wo_cover.pdf',2009,23,Incentives to Exercise,Econometrica,Gary Charness and Uri Gneezy,77,3,40263846,2,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082020_wo_cover.pdf',2002,23,Pivotal Statistics for Testing Structural Parameters in Instrumental Variables Regression,Econometrica,Frank Kleibergen,70,5,3082020,7,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/2692286_wo_cover.pdf',2002,29,Shift Restrictions and Semiparametric Estimation in Ordered Response Models,Econometrica,Roger W. Klein and Robert P. Sherman,70,2,2692286,4,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598838_wo_cover.pdf',2004,41,Econometric Analysis of Realized Covariation: High Frequency Based Covariance; Regression; and Correlation in Financial Economics,Econometrica,Ole E. Barndorff-Nielsen and Neil Shephard,72,3,3598838,8,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598832_wo_cover.pdf',2004,28,The Block-Block Bootstrap: Improved Asymptotic Refinements,Econometrica,Donald W. K. Andrews,72,3,3598832,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4123096_wo_cover.pdf',2006,19,Bounds on Parameters in Panel Dynamic Discrete Choice Models,Econometrica,Bo E. Honoré and Elie Tamer,74,3,4123096,6,0
